Year,Date,Site_number,Sampling_Day,Sampling_Day_same,Sampling Time,Concentration,Drug,Conc2
2023,6/29/2023,3,29-Jun-23,4,After ,0,ACT,0
2023,6/29/2023,4,29-Jun-23,4,After ,0,ACT,0
2023,6/29/2023,5,29-Jun-23,4,After ,0,ACT,0
2023,6/29/2023,6,29-Jun-23,4,After ,0,ACT,0
2021,6/1/2021,1,1,1,Before,13890,CAF,13.89
2021,6/6/2021,1,2,2,During,10200,CAF,10.2
2021,6/9/2021,1,3,3,After ,16180,CAF,16.18
2021,6/1/2021,2,1,1,Before,26790,CAF,26.79
2021,6/6/2021,2,2,2,During,9380,CAF,9.38
2021,6/9/2021,2,3,3,After ,6750,CAF,6.75
2021,6/1/2021,3,1,1,Before,11900,CAF,11.9
2021,6/6/2021,3,2,2,During,7170,CAF,7.17
2021,6/9/2021,3,3,3,After ,6860,CAF,6.86
2021,6/1/2021,4,1,1,Before,13100,CAF,13.1
2021,6/6/2021,4,2,2,During,21100,CAF,21.1
2021,6/9/2021,4,3,3,After ,12880,CAF,12.88
2021,6/1/2021,5,1,1,Before,10680,CAF,10.68
2021,6/6/2021,5,2,2,During,8950,CAF,8.95
2021,6/9/2021,5,3,3,After ,6500,CAF,6.5
2021,6/1/2021,6,1,1,Before,13700,CAF,13.7
2021,6/6/2021,6,2,2,During,8590,CAF,8.59
2021,6/9/2021,6,3,3,After ,8170,CAF,8.17
2022,6/2/2022,1,0,1,Before,2470,CAF,2.47
2022,6/6/2022,1,1,2,During,1781,CAF,1.781
2022,6/9/2022,1,2,3,After ,1175,CAF,1.175
2022,7/7/2022,1,3,4,After ,2070,CAF,2.07
2022,6/2/2022,2,0,1,Before,3445,CAF,3.445
2022,6/6/2022,2,1,2,During,975,CAF,0.975
2022,6/9/2022,2,2,3,After ,3952,CAF,3.952
2022,7/7/2022,2,3,4,After ,1818,CAF,1.818
2022,6/2/2022,3,0,1,Before,2245,CAF,2.245
2022,6/6/2022,3,1,2,During,743,CAF,0.743
2022,6/9/2022,3,2,3,After ,1856,CAF,1.856
2022,7/7/2022,3,3,4,After ,1596,CAF,1.596
2022,6/2/2022,4,0,1,Before,3534,CAF,3.534
2022,6/6/2022,4,1,2,During,549,CAF,0.549
2022,6/9/2022,4,2,3,After ,2200,CAF,2.2
2022,7/7/2022,4,3,4,After ,1493,CAF,1.493
2022,6/2/2022,5,0,1,Before,3992,CAF,3.992
2022,6/6/2022,5,1,2,During,590,CAF,0.59
